trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-144.2901590849128,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,6,-62.83650719491181,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-68.18807612516191,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",30,0,-113.87687334426958,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,14,-55.064257843415994,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,0,-81.37889492297077,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-110.03728320970825,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,8,7.3606682969409185,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",35,10,-43.896418543512446,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,0,-46.45023847021632,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",20,0,-18.893836190729147,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",30,5,-61.682838946588916,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",25,10,-32.24926857996621,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",25,7,-3.5947057627631813,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",20,0,-32.0683316511831,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,0,-50.42171318544515,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",30,8,-34.389404302688455,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,0,-23.042945047445393,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",30,3,-40.394962074289694,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",25,0,-31.105708169371454,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.3405616262881148}",20,0,-26.941702011500592,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.323533544973709}",25,0,-66.21533755046103,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",25,0,20.926504018987423,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",25,8,-29.54959168026623,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",25,12,12.16549992067787,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",25,18,10.322666838135278,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",20,5,27.085179885985546,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",20,2,20.31283669789072,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",20,8,10.633068025123375,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",20,3,-3.315650913058729,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",25,13,27.852177290376222,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",35,18,31.71790971249041,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557582}",20,9,14.302526340228397,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.174824614723797}",25,2,37.00687045627602,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",20,6,19.532084376978606,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.1577792147882268}",20,11,12.331767793023197,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881545}",30,14,34.27559320002711,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637467}",25,0,31.66476434525954,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.13527595427905592}",20,7,12.178410033658693,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.12851215656510312}",25,17,14.743453979598504,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684796}",20,0,21.279985999555173,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.11598222130000556}",30,16,21.32665071954882,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500528}",20,8,23.84352151961763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325501}",20,9,-1.8975630879104053,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709225}",25,20,9.188341089664505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773763}",20,3,28.27963814503089,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085075}",25,10,14.187824437456475,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,0,13.412893860346404,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.0809947108175928}",20,9,24.01104598940692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671315}",25,2,31.95092092386077,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287749}",30,20,18.668009150776502,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.06944284018723361}",25,13,23.27243067951057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06597069817787193}",25,12,12.075456972842971,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06267216326897833}",25,16,16.957861381568083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.05953855510552941}",20,10,6.618863088539686,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.056561627350252934}",30,12,32.86561602865485,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740286}",20,6,22.249552201434128,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.051046868683603266}",25,17,3.400626154899976,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.048494525249423104}",20,11,17.82514159720054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.046069798986951946}",25,11,26.46909921740665,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.043766309037604346}",20,0,28.819428808916957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.04157799358572413}",30,12,26.991658173429194,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.03949909390643792}",25,10,26.29159674274515,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.03752413921111602}",30,10,35.61427773252946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03564793225056022}",30,7,22.76897696934233,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.033865535638032206}",30,17,22.870793072800133,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.03217225885613059}",25,3,-6.496411920835669,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.030563645913324063}",30,15,28.0998393569432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.02903546361765786}",25,10,25.115691823144893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.027583690436774964}",30,16,23.69436301101599,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.026204505914936217}",20,10,15.83875445399856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
