trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.84560438242363,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.26839530049885,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.82778498841448,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.9063269895661,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.24259256933442,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.899023873854123,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.33551186261704,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.89585283447569,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.03161709413604,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,8,-33.863882071251055,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.08515849071479,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.89799498559805,"{0: 13, 1: 4, 2: 12, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.65639101072946,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.8927376433997,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.13356472242072,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.12647074138906,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-261.64387080482123,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.87388289061268,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,11,-138.79369359151048,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.45282659037878,"{0: 12, 1: 3, 2: 12, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.1863695010165,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,7,-93.56614676200941,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-158.00728009748798,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.54426490107411,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.68908367428529,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.18778422797314,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.17260146944226,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.42294101389825,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.50600877558654,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.62215774192441,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
